UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
417910,1,3,1,3,1,3,3,3,3,"R",103,"R",8,"R",95,"R",69,"R",6,"R",63,"R",31,"R",4,"R",27,"R",31,"R",4,"R",27,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417992,3,3,1,3,1,1,3,3,1,"R",15,"R",3,"R",12,"R",15,"R",3,"R",12,"R",9,"R",3,"R",6,"R",6,"R",2,"R",4,"R",3,"R",1,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418010,3,3,3,3,1,1,3,3,3,"R",13,"R",1,"R",12,"R",5,"R",1,"R",4,"R",5,"R",1,"R",4,"R",3,"R",1,"R",2,"R",2,"R",0,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418029,5,3,1,2,1,1,3,3,2,"R",8,"Z",0,"R",8,"R",8,"A",,"R",8,"R",6,"A",,"R",6,"R",6,"A",,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418056,3,3,1,3,1,3,3,3,1,"R",17,"R",2,"R",15,"R",9,"R",1,"R",8,"R",9,"R",1,"R",8,"R",9,"R",1,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418065,3,3,1,2,1,3,3,3,1,"R",108,"R",11,"R",97,"R",90,"R",7,"R",83,"R",78,"R",4,"R",74,"R",58,"R",3,"R",55,"R",20,"R",1,"R",19,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418269,3,3,1,3,3,3,3,3,3,"R",23,"R",14,"R",9,"R",23,"R",14,"R",9,"R",18,"R",11,"R",7,"R",18,"R",11,"R",7,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418427,2,2,1,3,1,3,3,3,1,"R",24,"R",1,"R",23,"R",8,"R",0,"R",8,"R",6,"A",,"R",6,"R",6,"A",,"R",6,"R",0,"A",,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418445,3,3,1,3,1,1,3,3,1,"R",17,"R",1,"R",16,"R",15,"R",1,"R",14,"R",11,"R",1,"R",10,"R",11,"R",1,"R",10,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418481,2,2,1,3,1,3,3,3,1,"R",40,"R",3,"R",37,"R",27,"R",2,"R",25,"R",22,"R",2,"R",20,"R",22,"R",2,"R",20,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418524,3,3,1,3,1,3,3,3,1,"R",83,"R",7,"R",76,"R",44,"R",6,"R",38,"R",33,"R",4,"R",29,"R",33,"R",4,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
418588,2,2,1,3,1,3,2,3,1,"R",27,"R",0,"R",27,"R",18,"A",,"R",18,"R",17,"A",,"R",17,"R",17,"A",,"R",17,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
419031,1,3,1,3,1,1,3,3,1,"R",12,"R",3,"R",9,"R",9,"R",1,"R",8,"R",9,"R",1,"R",8,"R",9,"R",1,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
419217,1,3,1,2,1,3,3,3,1,"R",3,"R",1,"R",2,"R",2,"R",1,"R",1,"R",2,"R",1,"R",1,"R",2,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
