UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
101736,12,"R",271,"R",211,"R",60,"R",1,"R",2,"R",29,"R",8,"R",0,"R",222,"R",1,"R",6,"R",2,"R",16,"R",168,"R",65,"R",22,"R",0
101879,05,"R",1155,"R",413,"R",742,"R",8,"R",11,"R",112,"R",39,"R",2,"R",929,"R",22,"R",10,"R",22,"Z",0,"R",916,"R",195,"R",44,"Z",0
101879,07,"R",429,"R",176,"R",253,"R",6,"R",6,"R",51,"R",14,"R",0,"R",309,"R",13,"R",7,"R",23,"Z",0,"R",58,"R",269,"R",102,"Z",0
101879,10,"R",58,"R",13,"R",45,"Z",0,"Z",0,"R",6,"R",2,"Z",0,"R",49,"R",1,"Z",0,"Z",0,"Z",0,"R",20,"R",25,"R",13,"Z",0
101897,02,"R",132,"R",60,"R",72,"R",2,"R",0,"R",2,"R",12,"R",0,"R",114,"R",2,"R",0,"R",0,"R",0,"R",74,"R",45,"R",13,"R",0
101897,03,"R",571,"R",194,"R",377,"R",13,"R",2,"R",6,"R",45,"R",1,"R",497,"R",6,"R",1,"R",0,"R",0,"R",349,"R",170,"R",52,"R",0
101897,12,"R",534,"R",210,"R",324,"R",19,"R",2,"R",7,"R",75,"R",0,"R",424,"R",7,"R",0,"R",0,"R",0,"R",378,"R",119,"R",37,"R",0
101912,05,"R",330,"R",125,"R",205,"R",1,"R",2,"R",286,"R",11,"Z",0,"R",1,"Z",0,"R",8,"R",21,"R",0,"R",251,"R",56,"R",23,"Z",0
101912,07,"R",3,"R",2,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0
101912,10,"R",24,"Z",0,"R",24,"Z",0,"R",7,"R",4,"R",3,"Z",0,"R",9,"Z",0,"Z",0,"R",1,"Z",0,"R",4,"R",17,"R",3,"Z",0
101994,02,"R",93,"R",5,"R",88,"R",0,"R",0,"R",61,"R",0,"R",0,"R",31,"R",0,"R",1,"R",0,"R",0,"R",31,"R",53,"R",9,"R",0
101994,03,"R",36,"R",20,"R",16,"R",0,"R",0,"R",11,"R",0,"R",0,"R",24,"R",1,"R",0,"R",0,"R",0,"R",24,"R",9,"R",3,"R",0
101994,12,"R",16,"R",12,"R",4,"R",0,"R",0,"R",9,"R",0,"R",0,"R",7,"R",0,"R",0,"R",0,"R",0,"R",12,"R",2,"R",2,"R",0
