UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
164562,1,1,1,3,1,3,3,1,3,"R",4576,"R",2315,"R",2261,"R",3589,"R",1618,"R",1971,"R",492,"R",209,"R",283,"R",492,"R",209,"R",283,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
164580,1,2,1,1,1,5,1,1,3,"R",7122,"R",4535,"R",2587,"R",1722,"R",849,"R",873,"R",550,"R",262,"R",288,"R",550,"R",262,"R",288,"A",,"A",,"A",,"R",347,"R",63,"R",278,"R",51,"R",610,"R",680,"R",620,"R",730,"R",27,"R",32,"R",27,"R",33,"R",27,"R",33
164599,3,3,1,3,3,3,3,3,3,"R",7,"R",2,"R",5,"R",4,"R",1,"R",3,"R",4,"R",1,"R",3,"A",,"A",,"A",,"R",4,"R",1,"R",3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
164614,2,3,1,2,1,3,1,2,3,"R",52,"R",28,"R",24,"R",38,"R",16,"R",22,"R",17,"R",6,"R",11,"R",10,"R",2,"R",8,"R",7,"R",4,"R",3,"R",5,"R",29,"R",5,"R",29,"R",370,"R",670,"R",380,"R",560,"R",16,"R",20,"R",14,"R",19,"R",15,"R",17
164632,1,1,1,2,1,3,5,1,3,"R",1470,"Z",0,"R",1470,"R",924,"A",,"R",924,"R",144,"A",,"R",144,"R",144,"A",,"R",144,"R",0,"A",,"R",0,"R",95,"R",65,"R",14,"R",10,"R",500,"R",610,"R",470,"R",580,"R",20,"R",25,"R",22,"R",23,"R",7,"R",18
164641,1,5,1,5,5,5,3,1,1,"R",620,"R",183,"R",437,"R",274,"R",86,"R",188,"R",53,"R",18,"R",35,"R",35,"R",15,"R",20,"R",18,"R",3,"R",15,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
164720,1,2,1,1,2,2,1,1,3,"R",4972,"R",2133,"R",2839,"R",3451,"R",1441,"R",2010,"R",382,"R",214,"R",168,"R",379,"R",214,"R",165,"R",3,"R",0,"R",3,"R",326,"R",87,"R",62,"R",17,"R",490,"R",590,"R",480,"R",570,"R",20,"R",26,"R",19,"R",27,"R",18,"R",25
164739,2,2,1,1,1,3,1,1,3,"R",8867,"R",5564,"R",3303,"R",3915,"R",2325,"R",1590,"R",1018,"R",624,"R",394,"R",1018,"R",624,"R",394,"A",,"A",,"A",,"R",670,"R",66,"R",396,"R",39,"R",590,"R",670,"R",620,"R",710,"R",27,"R",31,"R",26,"R",32,"R",27,"R",31
164748,1,2,1,3,1,1,3,1,3,"R",6222,"R",3234,"R",2988,"R",3268,"R",1870,"R",1398,"R",1329,"R",769,"R",560,"R",1263,"R",727,"R",536,"R",66,"R",42,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
164924,1,2,1,1,1,2,1,1,2,"R",28454,"R",12043,"R",16411,"R",9223,"R",4374,"R",4849,"R",2412,"R",1164,"R",1248,"R",2412,"R",1164,"R",1248,"R",0,"R",0,"R",0,"R",1441,"R",60,"R",1351,"R",56,"R",660,"R",760,"R",660,"R",730,"R",31,"R",33,"R",31,"R",35,"R",28,"R",33
